source_statement,metric_key,standard_metric,priority
StatementsOfIncome,RevenueFromContractWithCustomerExcludingAssessedTax,revenue,1
StatementsOfIncome,SalesRevenueNet,revenue,2
StatementsOfIncome,Revenues,revenue,3
StatementsOfIncome,RevenueRemainingPerformanceObligation,revenue,9
StatementsOfIncome,NetIncomeLoss,net_income,1
StatementsOfIncome,ProfitLoss,net_income,2
StatementsOfIncome,OperatingIncomeLoss,operating_income,1
BalanceSheets,Assets,total_assets,1
BalanceSheets,Liabilities,total_liabilities,1
BalanceSheets,StockholdersEquity,shareholders_equity,1
BalanceSheets,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,shareholders_equity,2
BalanceSheets,CashAndCashEquivalentsAtCarryingValue,cash_and_cash_equivalents,1
